priority,provider,best_email,cc_or_alt_email,phone,contact_url,program_angle,first_action,notes
1,ABCO Technology,info@abcotechnology.edu,,310-216-3067,https://abcotechnology.edu/contact-us/,"IT, cybersecurity, programming, web development, WIOA-friendly prospects",Email then call same day,"Ask for admissions partnerships or outside student inquiry sources."
2,CIAT / California Institute of Applied Technology,partnerships@ciat.edu,admissions@ciat.edu,877-559-3621,https://www.ciat.edu/contact-us,"Online IT, cybersecurity, data analytics, project management",Email partnerships and admissions then call,"Best direct partnership path in the list."
3,Portnov Computer School,contactus@portnov.com,,650-961-2044,https://www.portnov.com/contacts/,"Software QA and testing career-switchers",Email then call next day,"Focused niche and clear adult career-switcher fit."
4,California Institute of Career Development,info@ci-cd.org,,669-285-7916,https://ci-cd.org/admission/,"Online data, cybersecurity, bookkeeping, digital marketing, admin",Email then call,"Confirm whether they can pay for partner-sourced prospects given funding model."
5,CCS Learning Academy,sales@ccslearningacademy.com,govsales@ccslearningacademy.com,858-208-4141,https://bootcamp.ccslearningacademy.com/contact/,"Data analytics, cybersecurity, IT bootcamp prospects",Email sales then call,"Ask for a small CPL or booked-call pilot."
6,CA Trade Academy,Mona@CATradeAcademy.com,"Barbara@CATradeAcademy.com; info@catradeacademy.com",888-204-6064,https://catradeacademy.com/contact/,"Business office, accounting, CompTIA, network/security, Microsoft programs",Email named contacts then call,"Avoid healthcare/phlebotomy in the pitch."
7,Aberdeen College,info@AberdeenUSA.com,"AberdeenCollege.Help@Gmail.Com; Syed@AberdeenUSA.Com",213-381-7765,https://aberdeenusa.com/contact.php,"QuickBooks, accounting, SQL, MS Office, project management",Email all relevant addresses then call,"Small school; likely reachable by phone."
8,Amfasoft Corporation,training@amfasoft.com,"info@amfasoft.com; consult@amfasoft.com",510-770-6748,https://www.amfasoft.com/contactus.php,"Payroll, accounting, ERP, Salesforce, cloud, IT training",Email training and info then call,"Pitch practical job-seeker leads."
9,QBICS Career College,acel@qbics.us,,714-550-1052,https://www.anaheim.net/DocumentCenter/View/20680/Anaheim-Workforce-Connection-Eligible-Training-Provider-List?bidId=,"A+ computer technician and network technician",Call first then email,"General admin email was not strongly verified; phone-first."
10,AAA Institute,,,818-386-2109,https://aaa-institute.com/about/,"Data science, project management, business analysis, Cisco/networking",Call first,"No public email found; ask for admissions or partnerships contact."
